Blog	four	looking	second	available	here	k	music	until	example	want	feature	wrong	yourself	series	re	wasn	service	needed	project	tech	came	saying	best	men	asked	much	life	worked	things	had	possible	right	old	people	easy	google	support	happy	inside	later	time	minute	leave	team	along	love	working	following	awesome	such	data	so	years	didn	internet	million	quite	open	future	san	say	saw	note	take	drive	going	where	sites	many	photos	single	summer	being	around	traffic	world	power	favorite	mean	other	her	complete	ad	am	original	tv	th	large	small	past	hours	experience	via	company	learn	states	sense	its	always	found	really	obama	sell	also	play	plan	sometimes	cover	set	see	movie	last	whole	community	recent	person	amp	readers	couple	d	continue	anything	into	link	line	us	ago	having	send	try	video	let	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	email	co	ve	android	off	less	web	five	become	announced	told	word	work	law	order	office	then	them	network	another	do	away	com	information	launched	hand	photo	night	post	months	way	update	together	cost	change	live	car	write	product	remember	still	non	half	now	year	space	shows	care	than	online	only	between	article	comes	these	media	thinking	real	read	early	using	business	lot	since	month	very	learned	family	takes	site	history	help	soon	actually	feel	beyond	event	issue	reason	put	american	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	some	run	step	within	similar	doesn	go	does	facebook	download	click	started	control	links	software	including	him	front	ask	times	long	need	able	based	course	written	key	problem	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	changes	left	human	yes	yet	deal	down	daily	did	box	making	may	man	maybe	talk	nbsp	group	interesting	policy	morning	after	thing	think	first	fast	little	anyone	were	performance	especially	shot	show	behind	black	get	nearly	enough	reading	across	according	those	different	same	running	money	audience	trying	videos	again	important	chris	u	forget	public	search	published	two	share	needs	coming	through	good	everyone	house	hard	idea	members	done	least	part	believe	b	build	most	find	please	point	simple	create	fun	itself	development	spent	spend	big	bit	often	back	either	use	forward	entire	access	body	others	private	names	ll	day	text	national	taking	gone	value	almost	thought	latest	add	happens	ways	buy	minutes	special	starting	under	every	changed	would	phone	me	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	been	quickly	several	social	everything	head	check	no	focus	cool	level	posts	quick	says	goes	water	today	platform	happened	name	she	turn	place	white	released	any	ideas	sure	state	review	come	case	myself	someone	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	number	story	kind	added	nothing	his	art	recently	attention	questions	customers	question	called	nice	users	helping	once	issues	include	app	few	women	something	six	instead	light	looks	our	york	g	july	which	who	why	local	ones	view	job	will	gets	know	press	because	getting	own	apps	made	record	below	percent	book	understand
mezzoblue	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	5	0	1	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eschaton	0	0	1	0	1	0	0	0	1	2	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1	6	2	0	1	4	1	2	0	7	0	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	0	4	3	0	0	2	2	0	0	0	0	0	0	2	0	3	2	0	0	0	0	1	1	2	0	2	0	0	0	4	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	5	0	3	2	1	0	2	1	0	2	1	0	0	0	4	1	0	1	0	0	0	1	1	0	2	3	0	0	5	0	1	0	1	1	1	0	0	0	0	0	3	0	1	3	0	1	0	0	4	0	1	0	0	0	1	0	0	2	0	0	0	2	0	1	1	0	0	1	2	5	0	1	2	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	3	0	1	0	4	0	6	0	1	1	0	4	0	1	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	2	2	0	0	0	1	1	1	0	0	2	0	0	1	0	1	1	2	1	1	2	0	0	2	3	0	0	0	2	2	1	0	0	0	0	0	0	0	2	7	1	0	0	2	0	0	0	1	1	0	0	1	0	0	1	28	0	1	0	1	0	0	2	0	1	1	0	0	1	0	1	1	0	2	0	0	1	0	2	0	1	0	0	5	4	2	0	0	2	1	1	0	0	4	3	0	2	0	0	0	0	0	1	1	0	2	0	1	1	1	0	1	0	0	4	3	3	3	2	0	2	1	3	0	1	0	0	0	0	3	2	1	0	0	0	1	1	3	0	1	0	0	0	0	1	2	0	0	3	0	0	1	0	0	0	0	7	1	3	1	2	0	0	1	1	0	0	2	1	0	0	1	0	0	0	1	0	0	1	2	3	1	1	0	2	0	1	0	0	1	2	0	1	4	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	2	1	1	0	0	0	0	1	1	1	0	0	0	0	3	1	0	2	0	0	1	0	0	2	1	2	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	6	0	2	6	1	0	0	0	0	1	2	6	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	20	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	6	1	1	1	1	0	4	1	0	0	1	8	1	1	0	0	0	4	0	1	3	3	2	1	0	3	0	0	3	0	1
ShoeMoney	2	4	1	0	6	4	0	2	0	5	0	1	0	0	13	0	0	0	1	0	1	1	2	0	1	2	4	0	1	6	1	6	0	12	3	4	2	0	0	0	6	0	0	0	1	0	3	1	1	0	0	17	8	3	4	3	0	0	2	0	9	0	0	3	0	3	3	1	3	0	0	0	0	4	6	4	0	0	1	4	0	0	1	3	0	0	3	0	2	2	0	1	0	2	1	0	0	7	3	0	4	0	4	5	1	2	1	0	1	1	0	6	0	1	0	0	0	0	3	0	0	2	3	0	0	2	8	1	1	0	5	2	6	0	0	2	1	1	0	8	3	4	0	0	0	4	0	1	2	3	0	3	0	2	0	0	0	1	0	2	0	2	0	0	2	3	8	2	0	9	0	3	2	0	0	0	0	1	1	3	0	2	0	1	2	0	3	5	1	2	0	0	3	5	1	0	0	4	11	2	2	0	1	4	1	2	3	1	0	1	11	9	0	6	7	1	0	0	2	0	1	1	3	1	0	0	0	0	3	0	0	0	0	1	0	2	0	5	0	0	0	1	1	0	3	4	0	0	0	1	1	2	2	0	0	0	10	0	0	1	0	2	0	2	5	3	2	1	0	0	0	0	0	5	0	0	1	5	0	0	0	0	1	0	1	0	0	3	3	1	1	3	1	3	2	0	0	1	0	2	1	0	1	2	1	5	0	0	0	1	0	0	0	0	6	10	8	1	0	0	1	1	0	2	0	0	4	6	1	1	1	0	0	0	2	0	0	4	9	1	4	0	1	2	2	0	0	0	3	1	0	7	0	1	0	0	0	0	3	1	1	13	0	0	0	0	2	0	0	1	1	0	0	1	1	0	0	4	6	0	0	4	0	0	0	1	1	0	0	3	5	5	0	1	1	2	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	3	0	0	1	4	0	0	0	0	1	1	4	0	1	0	2	4	0	0	0	1	3	2	9	0	13	2	2	12	1	1	7	2	2	3	0	0	2	1	3	0	1	0	0	0	1	2	7	1	0	0	0	0	4	3	2	1	0	0	1	0	3	0	3	1	3	2	0	0	0	0	0	4	2	2	0	2	2	0	1	2	0	0	11	2	4	11	0	0	0	2	0	0	4	0	1	1	1	5	2	0	3	2	0	1	2	3	1	3	1	1	0	0	0	0	0	1	1	0	5	0	1	0	0	1	0	0	0	0	2	4	0	2	0	0	10	0	4	0	4	4	1	0	5	0	2	0	3	0
Slashdot	0	0	0	1	1	0	0	2	0	1	0	1	0	0	2	1	0	1	4	1	2	0	0	0	0	1	0	0	1	2	3	1	1	3	0	2	0	0	0	1	4	0	0	0	0	0	1	0	0	2	4	2	3	1	2	1	0	1	1	1	2	0	4	0	0	2	4	0	1	0	0	0	6	0	1	1	0	0	0	5	1	3	0	0	0	0	0	0	0	1	0	1	0	3	0	2	0	6	2	0	1	0	2	3	0	2	0	2	1	0	0	1	0	0	1	0	1	1	0	7	0	1	2	0	1	0	1	1	0	0	1	0	0	1	1	0	0	2	0	1	3	2	1	0	0	4	0	4	0	0	1	1	1	1	2	2	0	0	2	0	0	4	0	0	0	2	2	1	1	4	1	1	3	0	1	0	0	2	0	1	0	0	2	1	0	0	2	0	0	3	1	0	5	3	2	0	0	6	1	2	4	0	0	0	2	0	0	15	0	5	2	3	1	0	1	0	0	0	2	0	0	1	0	1	0	0	1	0	3	0	0	0	0	1	2	1	1	1	1	0	0	0	4	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	1	1	2	1	1	2	2	1	4	4	1	0	0	2	3	0	0	1	11	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	1	2	2	0	1	2	0	1	0	1	1	0	3	0	0	1	0	5	3	0	0	0	6	2	0	0	0	0	4	0	0	0	0	0	1	3	0	0	2	0	2	0	1	0	3	1	1	0	0	0	0	6	0	0	0	0	1	2	2	0	1	1	0	0	3	2	0	2	1	0	0	0	1	1	0	1	0	0	2	2	4	0	0	0	0	3	0	2	2	0	0	0	0	0	0	1	0	1	2	0	7	0	0	0	1	1	0	0	1	1	0	2	0	1	0	0	1	0	0	0	0	3	2	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	2	0	0	8	2	0	1	1	7	0	0	0	2	2	1	0	2	2	0	0	0	0	6	1	2	0	1	2	0	0	1	0	0	0	5	0	0	3	0	0	0	1	0	1	0	0	2	0	1	0	2	2	1	0	0	0	1	4	2	0	2	0	1	1	1	1	3	1	0	0	1	0	1	2	0	1	2	3	15	0	0	0	11	0	1	1	1	0	1	4	1	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	10	2	3	0	0	1	0	4	0	1	2	1	1	1	0	1	3	1	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	2	0	0	1	0	4	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	6	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	1	1	2	0	0	0	0	2	0	0	1	0	0	0	1	0	1	2	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gothamist	2	1	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	2	1	0	1	2	1	0	2	2	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	3	1	1	0	2	0	0	0	0	3	1	0	0	0	0	2	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	5	2	1	0	0	5	0	0	0	2	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	2	0	0	2	0	0	1	0	2	0	0	1	2	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	1	0	0	0	2	0	0	3	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	2	1	0	2	1	0	0	1	0	0	0	0	3	0	2	1	4	0	0	0	0	0	0	3	0	0	1	1	1	0	0	1	3	0	0	1	1	4	0	0	0	1	0	0	2	0	1	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	1	1	1	0	0	0	1	0	0	1	6	0	0	0	0	0	2	3	0	0	1	0	1	0	1	1	1	0	0	2	1	0	2	0	0	0	0	0	1	0	0	1	2	1	0	0	1	0	1	0	2	2	0	1	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	1	0	0	0	0	3	0	0	0	1	0	1	0	0	0	1	0	0	4	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	3	2	2	0	0	0	3	1	0	0	0	0	4	0	2	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0
we make money not art	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	1	0	0	2	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	3	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	2	2	0	5	2	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	4	2	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	15	1	7	0	1	10	0	1	0	0	0	0	0	0	2	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	5	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	2	0	0	1	0	1	0	1	0	0	0	0	1	7	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	3	2	0	0	2	0	2	2	0	2	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	3	2	1	0	1	0	1	0	1	2	0	0	0	2	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	4	0	0	1	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	1	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	2	0	0	1	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	3	0	1	0	1	1	0	0	3	0
BuzzMachine	0	0	1	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	5	1	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	3	1	4	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	2	1	1	1	0	0	1	5	0	0	1	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	0	1	0	1	0	0	0	0	4	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	5	2	0	2	0	1	2	0	0	0	0	6	0	1	0	0	1	0	0	1	0	0	0	1	0
The Huffington Post | The Full Feed	7	5	5	1	8	2	3	7	3	19	0	3	7	3	36	14	4	3	7	1	2	13	5	10	5	13	19	0	18	45	2	12	10	42	1	3	7	3	2	3	41	2	3	2	4	4	13	2	1	8	1	36	16	11	5	5	3	3	2	3	8	2	3	24	3	15	12	0	21	3	0	11	24	16	2	12	4	1	12	23	37	2	0	7	1	0	4	0	4	8	5	16	4	24	7	6	3	38	5	13	12	6	2	29	1	10	2	3	6	23	3	11	2	5	8	11	0	0	4	13	3	5	30	0	1	16	4	7	2	3	10	9	7	2	1	2	4	10	6	12	15	10	4	2	7	10	3	3	1	1	2	23	0	5	4	0	7	11	2	8	3	13	8	3	1	19	25	2	12	33	6	3	2	0	3	12	2	41	2	18	0	10	3	10	13	0	1	0	4	10	6	5	18	27	10	5	20	31	4	18	3	0	3	20	8	1	7	4	8	8	7	9	13	8	13	6	8	0	1	3	24	1	6	9	1	6	8	0	2	1	0	2	4	8	0	1	12	2	12	9	11	22	29	1	0	18	2	4	9	4	7	15	5	3	3	0	7	5	0	0	5	8	2	2	6	13	16	3	5	9	1	9	4	17	2	10	12	21	2	5	1	10	4	4	22	4	8	5	4	10	11	0	3	16	29	12	4	11	3	3	6	0	2	3	3	19	31	10	2	2	32	2	2	14	25	58	19	6	3	7	2	4	5	10	4	8	2	2	58	6	8	7	0	5	5	5	4	18	10	10	21	1	14	4	38	1	6	2	8	3	8	31	3	2	4	2	11	17	6	16	3	2	10	7	3	5	8	0	6	0	13	6	1	21	8	3	2	20	10	6	3	4	1	0	8	7	11	7	2	6	28	14	0	7	2	4	8	3	1	3	4	6	2	6	13	5	38	3	2	2	5	2	1	1	18	26	2	5	4	5	3	4	2	2	1	1	3	5	2	1	2	6	11	3	19	5	31	10	6	23	4	12	2	3	4	12	3	6	7	8	0	8	1	0	3	1	2	4	34	3	5	12	6	3	1	25	0	3	4	4	0	5	2	8	9	5	3	6	49	1	8	8	1	12	0	7	12	0	4	2	11	8	10	7	34	2	4	27	9	12	4	1	3	1	0	5	2	10	12	11	7	3	6	18	1	5	3	3	0	4	7	1	0	4	6	1	3	6	13	40	9	3	8	3	0	80	14	0	11	19	48	13	1	0	4	18	27	2	18	3	32	6	15	4	11	5	2	21	5	4
PerezHilton	2	0	0	0	1	0	6	0	1	1	0	0	0	3	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	6	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	2	0	1	0	0	0	0	0
Gawker	2	1	0	0	2	0	0	0	0	3	0	0	1	1	2	1	0	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	6	1	1	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	2	9	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	3	0	2	1	3	0	2	0	0	1	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	7	1	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	4	0	2	1	0	6	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	7	0	0	0	1	0	1	0	0	0	1	0	1	1	25	0	0	0	1	0	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	2	1	0	0	0	1	1	3	1	0	0	0	0	0	0	0	4	2	1	1	1	0	0	0	0	0	0	1	2	0	2	1	5	0	1	1	0	0	1	0	4	0	0	3	0	0	0	1	2	0	1	2	0	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	2	1	0	1	0	0	1	0	2	0	1	0	0	1	3	2	0	0	0	0	0	2	5	0	0	2	0	0	1	3	0	0	2	4	1	4	1	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	2	2	2	0	0	1	2	0	0	1	0	2	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	2	3	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	4	0	2	0	0	1	0	1	0	0	0	1	0	2	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	3	1	0	1	0	1	1	6	0	1	3	1	1	0	2	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	6	1	2	1	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	2	2	3	0	0	1	8	0	0	0	0	1	3	0	1	0	2	0	0	0	0	0	0	0	0	2
